particle,spectra,target_x,target_y,actual_x,actual_y,size_w,size_l,morphology,color,other_observation,notes,row,object_id,library_id,match_val,match_threshold,good_correlations,signal_to_noise,signal_threshold,good_signal,good_matches,x,y,file_name,license.x,col_id,session_id,file_id,sn,organization,spectrum_type,spectrum_identity,librarytype,spectrumid,owner,rruffid,ideal_chemistry,locality,source,status,url,measured_chemistry,instrument_mode,intensity_units,other_info,jcamp-dx,yfactor,deltax,instrument_used,material_color,citation,brand,item,location,width,depth,particle_massmg,tgoc,tmoc,onset,enthalpyj_g,qa_qc,framework,abbreviation,spectral_resolution,instrument_accessories,wavenumber_range,user_name,region,campaign,state,treatment,analysis,exposure_days,polymer_id,file_legacy,locationdescription,country,lat,lon,spec_hash,x_unit,y_unit,product_id,supplier,specifications,pin_id,orientation,replicate,longest_dimension,license.y,samples,lines,bands,header_offset,data_type,interleave,pixel_size,otherinfo,pressure,temperature,material_form,material_producer,number_of_accumulations,time,ratio_against_background,truncated,elementmultiply_or_elementdivide,collection_length,sample_gain,number_of_background_scans,background_gain,sample_spacing,resolution_points,number_of_fft_points,apodization,bench_serial_number,subtraction_or_addition,baseline_correction,perctransmittance_absorbance,sponsor,grating,hole_sizenm,slitum,filterperc,delays,date,molform,aperture,beamsplitter,detectordiadetport_in_sphere,sphere_diameter,acquisition_mode,scanner_speed,phase_resolution,phase_correction,zerofilling,wavenumber_accuracy,low_pass_filter,switch_gain_on,mw,contact_info,cas_number,material_quality,laser_light_used,total_acquisition_time_s,data_processing_proceedure,level_of_confidence_in_identification,smoother,density,material_class,plastic_or_not,material_class_specific,max_cor_class,max_cor_val
1,1,,,-9670,-1227,100-200,100-200,fragment,white ,mostly in the dark,,1,V2,45e6b3d089c8f1eb3526bf27c9cdb633,0.799671,0.7,TRUE,4.534564,4,TRUE,TRUE,1,1,Sagehen_March142022_2_top_100_1-250001.CSV,CC BY-NC,V2,bd642a3cea4aa3840a4315f2642c3cae/9fb8439a1a35efb2ddfa4e64815c4261,e8cb4f7376a3eecf7836f4224e6dcee1,15.06957,kimmel_center,ftir,recent pollen 3 pinus,"organic materials, minerals, archeology",./pollen 3 pinus recent.dx kimmel,unknown,,,,unknown,,,,absorbance,absorbance,"absorbance of natural & biogenic material of archeological interest. collected and provided by prof. steven weiner from kimmel center for archaeological science, weizmann institute of science, israel",5.01  $$ datafile exported by spectragryph v.1.2.15,1,-0.96423,unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,########,,,,,,,,,,,,,,,,,,,,,,,,other material,not plastic,,other material,0.904896
2,2,,,-9807,-5954,100-200,400-500,fragment,white ,,,2,V2.1,8cc79e3af239e30f74dbfbe1e1f698f6,0.883937,0.7,TRUE,19.64173,4,TRUE,TRUE,2,1,Sagehen_March142022_2_top_100_1-250002.CSV,CC BY-NC,V2.1,bd642a3cea4aa3840a4315f2642c3cae/9fb8439a1a35efb2ddfa4e64815c4261,33ca6cd8d3aa5b94e4e1e4cfc0174e34,118.4212,primpke et al. 2018,ftir,poly(vinyl stearate),"polymer, minerals, organic materials",198primpke,,,,,,,,,atr,,https://doi.org/10.1007/s00216-018-1156-x,,,,,white,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,powder,"scientific polymer products, inc.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,polyvinylesters,plastic,poly(vinyl stearate),other plastic,0.947347
3,3,,,-10107,-5744,100-200,300-400,fragment,brown,mostly in the dark,,3,V2.2,ca20ee3d4a74e264a136b34b50f9c86c,0.906919,0.7,TRUE,8.044691,4,TRUE,TRUE,3,1,Sagehen_March142022_2_top_100_1-250003.CSV,CC BY-NC,V2.2,bd642a3cea4aa3840a4315f2642c3cae/9fb8439a1a35efb2ddfa4e64815c4261,9baff73f5ebc9a54ffc0a1e20282da78,6.557224,usda,ftir,soil,soil,107710xs02_usda,,,,,,,,,reflection,,,,,,bruker vertex-70 with hts-xt,,,,,,,,,,,,,,,,4 cm-1,cooled detector,"600 to 4000 cm1, applying 32 scans",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,other material,not plastic,,other material,0.989238
4,4,,,-9643,-6158,<50,100-200,fiber/filament,black,,,4,V2.3,e42f6ddbda160f2a9b764f2a3475ce9e,0.900199,0.7,TRUE,5.955032,4,TRUE,TRUE,4,1,Sagehen_March142022_2_top_100_1-250004.CSV,CC BY-NC,V2.3,bd642a3cea4aa3840a4315f2642c3cae/9fb8439a1a35efb2ddfa4e64815c4261,7636bb1a70bda3ce7b4ce6feef1699a4,5.798567,win cowger and sebastian primpke,ftir,fibre_cotton_us_pima,"polymer, minerals, organic materials",transmission_4_h5_2,,,,,awi,,,,transmission,,,,,,,,cowger et al. 'high throughput ftir analysis of macro and microplastics with plate readers' in prep,,,,,,,,,,,,plant fibre,fibre_cotton_us_pima,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,faserinstitut bremen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,,,,organic matter,not plastic,,organic matter,0.815313
5,5,,,-9884,-6448,<50,50-100,fiber/filament,translucent,,,5,V2.4,d17f8cae31a6d96f2869bfb81ce34938,0.842919,0.7,TRUE,4.972899,4,TRUE,TRUE,5,1,Sagehen_March142022_2_top_100_1-250005.CSV,CC BY-NC,V2.4,bd642a3cea4aa3840a4315f2642c3cae/9fb8439a1a35efb2ddfa4e64815c4261,99c80538e69b575f5ec82b68fbb2068b,11.48384,"flopp, de frond et al. 2021",ftir,c11. pink fiber,polymers,c11. pink fiber,nicolet,,,,thermo fisher scientific corporation,,,,transmittance,transmittance,https://doi.org/10.1021/acs.analchem.1c02549,5.01  $$ nicolet v. 970,1.00E-08,1.928548,nicolet in10 mx,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,13:07:15,ratio against background,truncated,elementmultiply or elementdivide,11.18 sec,1,32,1,2,4096,8192,n-b strong;,alk1911898;,,,,,,,,,,########,,,,,,,,,mertz;,,,,,,,,,15798.67 cm-1,11.18 sec,,,,,organic matter,not plastic,,organic matter,0.973158
6,6,,,-9456,-8750,100-200,100-200,fragment,white ,,,6,V2.5,f3318fd9bbb398518ba6143a2939cf59,0.908408,0.7,TRUE,6.655437,4,TRUE,TRUE,6,1,Sagehen_March142022_2_top_100_1-250006.CSV,CC BY-NC,V2.5,bd642a3cea4aa3840a4315f2642c3cae/9fb8439a1a35efb2ddfa4e64815c4261,ea7741e088ea0d832c6d8de49c8a7062,6.517447,usda,ftir,soil,soil,297915xn04_usda,,,,,,,,,reflection,,,,,,bruker vertex-70 with hts-xt,,,,,,,,,,,,,,,,4 cm-1,cooled detector,"600 to 4000 cm1, applying 32 scans",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,other material,not plastic,,other material,0.986281
7,7,,,-9255,-8797,50-100,100-200,fragment,white ,,,7,V2.6,8b652374b67d0b62bfaf6cce01d1c775,0.857172,0.7,TRUE,14.3063,4,TRUE,TRUE,7,1,Sagehen_March142022_2_top_100_1-250007.CSV,CC BY-NC,V2.6,bd642a3cea4aa3840a4315f2642c3cae/9fb8439a1a35efb2ddfa4e64815c4261,06abe517b4c29be3b46f7ed481ad92f8,10.48966,win cowger and sebastian primpke,ftir,tomato skin,"polymer, minerals, organic materials",transmission_4_e8_3,,,,,,,,,transmission,,,,,,,,cowger et al. 'high throughput ftir analysis of macro and microplastics with plate readers' in prep,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,,,,organic matter,not plastic,,organic matter,0.965029
8,8,,,-9455,-9387,100-200,200-300,fragment,white ,,,8,V2.7,5b0dd79fa633a504d5097262ae528e6a,0.80465,0.7,TRUE,7.893985,4,TRUE,TRUE,8,1,Sagehen_March142022_2_top_100_1-250008.CSV,CC BY-NC,V2.7,bd642a3cea4aa3840a4315f2642c3cae/9fb8439a1a35efb2ddfa4e64815c4261,082d30ca82f9937cb62e296085bd167e,487.5065,kimmel_center,ftir,amber (baltic; a. nissenbaum),"organic materials, minerals, archeology","./amber (baltic, a. nissenbaum).dx kimmel",unknown,,,,unknown,,,,absorbance,absorbance,"absorbance of natural & biogenic material of archeological interest. collected and provided by prof. steven weiner from kimmel center for archaeological science, weizmann institute of science, israel",5.01  $$ datafile exported by spectragryph v.1.2.15,1,-1.92847,unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,########,,,,,,,,,,,,,,,,,,,,,,,,mineral,not plastic,,other material,0.989719
9,9,,,-9553,-7689,<50,400-500,fiber/filament,translucent,,,9,V2.8,e42f6ddbda160f2a9b764f2a3475ce9e,0.870674,0.7,TRUE,4.201003,4,TRUE,TRUE,9,1,Sagehen_March142022_2_top_100_1-250009.CSV,CC BY-NC,V2.8,bd642a3cea4aa3840a4315f2642c3cae/9fb8439a1a35efb2ddfa4e64815c4261,7e48f5899c4bc82669525187addf28ec,5.798567,win cowger and sebastian primpke,ftir,fibre_cotton_us_pima,"polymer, minerals, organic materials",transmission_4_h5_2,,,,,awi,,,,transmission,,,,,,,,cowger et al. 'high throughput ftir analysis of macro and microplastics with plate readers' in prep,,,,,,,,,,,,plant fibre,fibre_cotton_us_pima,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,faserinstitut bremen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,,,,organic matter,not plastic,,organic matter,0.815313
10,10,,,-9389,-7709,50-100,200-300,fragment,white ,,,10,V2.9,5b0dd79fa633a504d5097262ae528e6a,0.727671,0.7,TRUE,6.64591,4,TRUE,TRUE,10,1,Sagehen_March142022_2_top_100_1-250010.CSV,CC BY-NC,V2.9,bd642a3cea4aa3840a4315f2642c3cae/9fb8439a1a35efb2ddfa4e64815c4261,1d284b6fe816f749959eb146790a94ab,487.5065,kimmel_center,ftir,amber (baltic; a. nissenbaum),"organic materials, minerals, archeology","./amber (baltic, a. nissenbaum).dx kimmel",unknown,,,,unknown,,,,absorbance,absorbance,"absorbance of natural & biogenic material of archeological interest. collected and provided by prof. steven weiner from kimmel center for archaeological science, weizmann institute of science, israel",5.01  $$ datafile exported by spectragryph v.1.2.15,1,-1.92847,unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,########,,,,,,,,,,,,,,,,,,,,,,,,mineral,not plastic,,other material,0.989719
11,11,,,-9582,-7867,50-100,50-100,fragment,brown,,,11,V2.10,e45917b196311ecc6490851d919aa811,0.812214,0.7,TRUE,4.574445,4,TRUE,TRUE,11,1,Sagehen_March142022_2_top_100_1-250011.CSV,CC BY-NC,V2.10,bd642a3cea4aa3840a4315f2642c3cae/9fb8439a1a35efb2ddfa4e64815c4261,b973e2fb452c24b9082a3947deb9e955,4.107605,win cowger and sebastian primpke,ftir,fibre_linen,"polymer, minerals, organic materials",reflectance_4_h9_3,,,,,awi,,,,reflectance,,,,,,,,cowger et al. 'high throughput ftir analysis of macro and microplastics with plate readers' in prep,,,,,,,,,,,,plant fibre,fibre_linen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,faserinstitut bremen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,,,,organic matter,not plastic,,organic matter,0.93688
12,12,,,-9228,-7891,50-100,100-200,fragment,brown,,,12,V2.11,08c07fba5b410ea7a50004d51dbc0636,0.79049,0.7,TRUE,8.560864,4,TRUE,TRUE,12,1,Sagehen_March142022_2_top_100_1-250012.CSV,CC BY-NC,V2.11,bd642a3cea4aa3840a4315f2642c3cae/9fb8439a1a35efb2ddfa4e64815c4261,0cbc5c71b440a8ed18e978a6114db4e6,7.0483,usda,ftir,soil,soil,107707xs01_usda,,,,,,,,,reflection,,,,,,bruker vertex-70 with hts-xt,,,,,,,,,,,,,,,,4 cm-1,cooled detector,"600 to 4000 cm1, applying 32 scans",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,other material,not plastic,,other material,0.954388
13,13,,,-9517,-7195,50-100,50-100,fragment,brown,,,13,V2.12,01c1d7798c98cd0d730357d28e28591d,0.798833,0.7,TRUE,5.250116,4,TRUE,TRUE,13,1,Sagehen_March142022_2_top_100_1-250013.CSV,CC BY-NC,V2.12,bd642a3cea4aa3840a4315f2642c3cae/9fb8439a1a35efb2ddfa4e64815c4261,9b49ed299fdf154a51146a463def503b,7.555903,usda,ftir,soil,soil,127446xs01_usda,,,,,,,,,reflection,,,,,,bruker vertex-70 with hts-xt,,,,,,,,,,,,,,,,4 cm-1,cooled detector,"600 to 4000 cm1, applying 32 scans",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,other material,not plastic,,other material,0.987414
14,14,,,-9282,-6700,100-200,200-300,fragment,white ,,,14,V2.13,e45917b196311ecc6490851d919aa811,0.77017,0.7,TRUE,6.272375,4,TRUE,TRUE,14,1,Sagehen_March142022_2_top_100_1-250014.CSV,CC BY-NC,V2.13,bd642a3cea4aa3840a4315f2642c3cae/9fb8439a1a35efb2ddfa4e64815c4261,a30fddb5d4253579b37bf0e4f8e17ce2,4.107605,win cowger and sebastian primpke,ftir,fibre_linen,"polymer, minerals, organic materials",reflectance_4_h9_3,,,,,awi,,,,reflectance,,,,,,,,cowger et al. 'high throughput ftir analysis of macro and microplastics with plate readers' in prep,,,,,,,,,,,,plant fibre,fibre_linen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,faserinstitut bremen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,,,,organic matter,not plastic,,organic matter,0.93688
15,15,,,-9257,-6366,100-200,100-200,film,translucent,,,15,V2.14,99dbd4d5c78d84a95a2ef955a842a644,0.763663,0.7,TRUE,99.3442,4,TRUE,TRUE,15,1,Sagehen_March142022_2_top_100_1-250015.CSV,CC BY-NC,V2.14,bd642a3cea4aa3840a4315f2642c3cae/9fb8439a1a35efb2ddfa4e64815c4261,4cc0c19f1f6925008371428137615659,13.01475,microplastix,ftir,(05) ps,,,,,,,,,,,,absorbance,,,,,,,"lenz, r., fischer, f., arnold, m., fernndez-gonzlez, v., moscoso prez, c. m., andrade-garda, j. m., muniategui-lorenzo, s., & fischer, d. (2023). robna/mpx_specdb: microplastix specdb (v1.0.2) [data set]. zenodo. https://doi.org/10.5281/zenodo.10149551",,,,,,,,,,,,,,,,,robin lenz,nap,summer,dry,bio,atr,60,5,/home/rob/ipfnextcloud/microplastix/udc_specdata/naples_summer/microplastix_naples_t60_summer__ps_1_1_1.sp,bay of naples,italy,40.83306,14.25306,9867af4b7810b8422ebacf0f196afb06c12ea74d3dc9c5186e63f465e426535f,cm-1,a,crt300.00,carat,gpps,,,,,,,,,,,,,,,,,carat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"polystyrenes (polyphenylethylenes, -methylstyrene)",plastic,polystyrene,polyolefins (polyalkenes),0.96687
16,16,,,-9215,-6030,100-200,100-200,fragment,white ,,,16,V2.15,e42f6ddbda160f2a9b764f2a3475ce9e,0.76058,0.7,TRUE,5.610845,4,TRUE,TRUE,16,1,Sagehen_March142022_2_top_100_1-250016.CSV,CC BY-NC,V2.15,bd642a3cea4aa3840a4315f2642c3cae/9fb8439a1a35efb2ddfa4e64815c4261,4dbac46105a3092762c7d7787fb67065,5.798567,win cowger and sebastian primpke,ftir,fibre_cotton_us_pima,"polymer, minerals, organic materials",transmission_4_h5_2,,,,,awi,,,,transmission,,,,,,,,cowger et al. 'high throughput ftir analysis of macro and microplastics with plate readers' in prep,,,,,,,,,,,,plant fibre,fibre_cotton_us_pima,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,faserinstitut bremen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,,,,organic matter,not plastic,,organic matter,0.815313
17,17,,,-9381,-2301,50-100,50-100,fragment,translucent,,,17,V2.16,794d8e502f938720beb83b08d9822879,0.883336,0.7,TRUE,11.97461,4,TRUE,TRUE,17,1,Sagehen_March142022_2_top_100_1-250017.CSV,CC BY-NC,V2.16,bd642a3cea4aa3840a4315f2642c3cae/9fb8439a1a35efb2ddfa4e64815c4261,a61932f843c246c7cafedaf587cd2586,16.36499,microplastix,ftir,(01) ldpe,,,,,,,,,,,,absorbance,,,,,,,"lenz, r., fischer, f., arnold, m., fernndez-gonzlez, v., moscoso prez, c. m., andrade-garda, j. m., muniategui-lorenzo, s., & fischer, d. (2023). robna/mpx_specdb: microplastix specdb (v1.0.2) [data set]. zenodo. https://doi.org/10.5281/zenodo.10149551",,,,,,,,,,,,,,,,,robin lenz,lcg,autumn,dry,bio,atr,60,1,/home/rob/ipfnextcloud/microplastix/udc_specdata/lcg_autumn/microplastix_lcg_t60_autumn__ldpe_6_1_1.sp,ares harbour,spain,43.42222,-8.23944,5accb56172fb23cd3e58f4e1a95c5d24b5091a8c91b4a71c2baf321bd7c0269d,cm-1,a,crt102.50,carat,without stabilizers,,,,,,,,,,,,,,,,,carat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,polyolefins (polyalkenes),plastic,poly(ethylene),polyolefins (polyalkenes),0.972297
18,18,,,-9318,-238,<50,600-700,fiber/filament,translucent,,,18,V2.17,118731ec54a0047fd12fe4bcc95f285d,0.76756,0.7,TRUE,3.490231,4,FALSE,FALSE,1,2,Sagehen_March142022_2_top_100_1-250018.CSV,CC BY-NC,V2.17,bd642a3cea4aa3840a4315f2642c3cae/9fb8439a1a35efb2ddfa4e64815c4261,56a55b8961c8157c1e60ff21d115cc7e,142.6833,kimmel_center,ftir,cellulose,"organic materials, minerals, archeology",./cellulose.dx kimmel,unknown,,,,unknown,,,,absorbance,absorbance,"absorbance of natural & biogenic material of archeological interest. collected and provided by prof. steven weiner from kimmel center for archaeological science, weizmann institute of science, israel",5.01  $$ datafile exported by spectragryph v.1.2.15,1,-1.92847,unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22/04/2012 15:15:04,,,,,,,,,,,,,,,,,,,,,,,,organic matter,not plastic,,other material,0.98989
19,19,,,-9053,781,50-100,100-200,fragment,white ,mostly in the dark,,19,V2.18,a5d4409e1aafdc15e5def6b2cba387ee,0.78695,0.7,TRUE,3.678235,4,FALSE,FALSE,2,2,Sagehen_March142022_2_top_100_1-250019.CSV,CC BY-NC,V2.18,bd642a3cea4aa3840a4315f2642c3cae/9fb8439a1a35efb2ddfa4e64815c4261,1cb11405b397a1a46526c6254d9bc196,6.670445,aline carvalho,ftir,polypropylene,polymers,polypropylene_88_aline,,,,,,,,,atr,,,,,,"thermo nicolet 670, thermo fisher scientific",,,,,,,,,,,,,,,,4 cm-1,(atr diamond crystal),"400 to 4000 cm-1, applying 8 scans",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,atr correction,,,,polyolefins (polyalkenes),plastic,poly(propylene),polyolefins (polyalkenes),0.903105
20,20,,,-8716,-813,100-200,400-500,fragment,brown,,,20,V2.19,5cf0aeaf1404351901fad4cdcc937bd4,0.844791,0.7,TRUE,7.703955,4,TRUE,TRUE,3,2,Sagehen_March142022_2_top_100_1-250020.CSV,CC BY-NC,V2.19,bd642a3cea4aa3840a4315f2642c3cae/9fb8439a1a35efb2ddfa4e64815c4261,258a6f4d92921b263947c238f6768124,393.4161,kimmel_center,ftir,"collagen (fossil >50,000 bp)","organic materials, minerals, archeology","./collagen (fossil  more than 50,000 bp).dx kimmel",unknown,,,,unknown,,,,absorbance,absorbance,"absorbance of natural & biogenic material of archeological interest. collected and provided by prof. steven weiner from kimmel center for archaeological science, weizmann institute of science, israel",5.01  $$ datafile exported by spectragryph v.1.2.15,1,-1.92847,unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,########,,,,,,,,,,,,,,,,,,,,,,,,other material,not plastic,,other material,0.986796
21,21,,,-9070,-753,<50,50-100,fiber/filament,brown,,,21,V2.20,aa410db93b8e7b2ebdab30554e1bce5b,0.784372,0.7,TRUE,7.509054,4,TRUE,TRUE,4,2,Sagehen_March142022_2_top_100_1-250021.CSV,CC BY-NC,V2.20,bd642a3cea4aa3840a4315f2642c3cae/9fb8439a1a35efb2ddfa4e64815c4261,90c276709eb3676d209915f8789d837c,60.44271,kimmel_center,ftir,4,"organic materials, minerals, archeology",./humic acid eas5_aaa_humic ph=4.dx kimmel,unknown,,,,unknown,,,,absorbance,absorbance,"absorbance of natural & biogenic material of archeological interest. collected and provided by prof. steven weiner from kimmel center for archaeological science, weizmann institute of science, israel",5.01  $$ datafile exported by spectragryph v.1.2.15,1,-1.92847,unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,########,,,,,,,,,,,,,,,,,,,,,,,,mineral,not plastic,,other material,0.931964
22,22,,,-8707,-1329,50-100,100-200,fragment,brown,,,22,V2.21,c9aa0bcac5b58831ce71243706aa9905,0.790305,0.7,TRUE,3.360904,4,FALSE,FALSE,5,2,Sagehen_March142022_2_top_100_1-250022.CSV,CC BY-NC,V2.21,bd642a3cea4aa3840a4315f2642c3cae/9fb8439a1a35efb2ddfa4e64815c4261,6699b7f695d321bb040f1dbda0ddfd9a,3.807009,win cowger and sebastian primpke,ftir,fibre_indian_raw_cotton,"polymer, minerals, organic materials",reflectance_4_h8_3,,,,,awi,,,,reflectance,,,,,,,,cowger et al. 'high throughput ftir analysis of macro and microplastics with plate readers' in prep,,,,,,,,,,,,plant fibre,fibre_indian_raw_cotton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,faserinstitut bremen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,,,,organic matter,not plastic,,organic matter,0.987149
23,23,,,-8726,-1001,<50,200-300,fiber/filament,translucent,,,23,V2.22,1618f1b7a698b8ac07e2d616e07305e5,0.849681,0.7,TRUE,6.106318,4,TRUE,TRUE,6,2,Sagehen_March142022_2_top_100_1-250023.CSV,CC BY-NC,V2.22,bd642a3cea4aa3840a4315f2642c3cae/9fb8439a1a35efb2ddfa4e64815c4261,fc28a704f5f6a25431940238db92db23,6.594407,usda,ftir,soil,soil,101733xs03_usda,,,,,,,,,reflection,,,,,,bruker vertex-70 with hts-xt,,,,,,,,,,,,,,,,4 cm-1,cooled detector,"600 to 4000 cm1, applying 32 scans",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,other material,not plastic,,other material,0.987619
24,24,,,-8790,-5073,50-100,50-100,fragment,brown,reflective,,24,V2.23,4b954335e81aa28bdf3b711b909b8b81,0.566784,0.7,FALSE,10.60894,4,TRUE,FALSE,7,2,Sagehen_March142022_2_top_100_1-250024.CSV,CC BY-NC,V2.23,bd642a3cea4aa3840a4315f2642c3cae/9fb8439a1a35efb2ddfa4e64815c4261,dd48d4b0e78efaa390babdcc5c28bdad,9.081841,rruff,raman,swedenborgite,minerals,swedenborgite__r060486__broad_scan__780__0__unoriented__raman_data_processed__24315,rruff,r060486,nabe_4_sb^5+^o_7_,"langban, filipstad, varmland, sweden",michael scott,the identification of this mineral is confirmed by single-crystal x-ray diffraction and chemical analysis.,rruff.info/r060486,(na_0.94_ca_0.03_[box]_0.03_)_=1_be_4.00_sb^5+^_1.00_o_7_; trace amounts of as; be estimated by difference,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,colorless glassy fragment in center of the photo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mineral,not plastic,,mineral,0.737479
25,25,,,-8880,-9480,50-100,200-300,fragment,brown,,,25,V2.24,acb66b066f21305d27fb34b09de50502,0.822817,0.7,TRUE,11.10984,4,TRUE,TRUE,8,2,Sagehen_March142022_2_top_100_1-250025.CSV,CC BY-NC,V2.24,bd642a3cea4aa3840a4315f2642c3cae/9fb8439a1a35efb2ddfa4e64815c4261,d74994d897fa8ff19a3646ad586510d5,6.941051,usda,ftir,soil,soil,297915xn01_usda,,,,,,,,,reflection,,,,,,bruker vertex-70 with hts-xt,,,,,,,,,,,,,,,,4 cm-1,cooled detector,"600 to 4000 cm1, applying 32 scans",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,other material,not plastic,,other material,0.987054
26,1,,,-8855,-9299,50-100,100-200,fragment,brown,,,26,V2.193,79fda6dcb482b4efa4841f315eb03b97,0.90897,0.7,TRUE,6.580057,4,TRUE,TRUE,7,12,Sagehen_March142022_2_top_100_26-500001.CSV,CC BY-NC,V2.193,bd642a3cea4aa3840a4315f2642c3cae/9fb8439a1a35efb2ddfa4e64815c4261,44e6cd0065c6f2b7935ce3e86021c280,17.75489,kimmel_center,ftir,keratin (fingernail),"organic materials, minerals, archeology",./keratin (fingernail).dx kimmel,unknown,,,,unknown,,,,absorbance,absorbance,"absorbance of natural & biogenic material of archeological interest. collected and provided by prof. steven weiner from kimmel center for archaeological science, weizmann institute of science, israel",5.01  $$ datafile exported by spectragryph v.1.2.15,1,-1.92847,unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17/10/2011 15:49:26,,,,,,,,,,,,,,,,,,,,,,,,other material,not plastic,,organic matter,0.923214
27,2,,,-8718,-9492,50-100,100-200,film,translucent,,,27,V2.194,417206629cbfb0d1eb6a557f5f736391,0.755221,0.7,TRUE,48.33216,4,TRUE,TRUE,8,12,Sagehen_March142022_2_top_100_26-500002.CSV,CC BY-NC,V2.194,bd642a3cea4aa3840a4315f2642c3cae/9fb8439a1a35efb2ddfa4e64815c4261,2cc1b53aea7236c4ac8a3a8187d3d1d4,22.20303,kimmel_center,ftir,aragonite |(kettle ofer bar yosef),"organic materials, minerals, archeology",./aragonite (kettle ofer bar yosef).dx kimmel,unknown,,,,unknown,,,,absorbance,absorbance,"absorbance of natural & biogenic material of archeological interest. collected and provided by prof. steven weiner from kimmel center for archaeological science, weizmann institute of science, israel",5.01  $$ datafile exported by spectragryph v.1.2.15,1,-1.92847,unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15/12/2011 15:09:02,,,,,,,,,,,,,,,,,,,,,,,,other material,not plastic,,other material,0.950712
