particle,spectra,target_x,target_y,actual_x,actual_y,size_w,size_l,morphology,color,other_observation,notes,row,object_id,library_id,match_val,match_threshold,good_correlations,signal_to_noise,signal_threshold,good_signal,good_matches,x,y,file_name,license.x,col_id,session_id,file_id,sn,organization,spectrum_type,spectrum_identity,librarytype,spectrumid,owner,rruffid,ideal_chemistry,locality,source,status,url,measured_chemistry,instrument_mode,intensity_units,other_info,jcamp-dx,yfactor,deltax,instrument_used,material_color,citation,brand,item,location,width,depth,particle_massmg,tgoc,tmoc,onset,enthalpyj_g,qa_qc,framework,abbreviation,spectral_resolution,instrument_accessories,wavenumber_range,user_name,region,campaign,state,treatment,analysis,exposure_days,polymer_id,file_legacy,locationdescription,country,lat,lon,spec_hash,x_unit,y_unit,product_id,supplier,specifications,pin_id,orientation,replicate,longest_dimension,license.y,samples,lines,bands,header_offset,data_type,interleave,pixel_size,otherinfo,pressure,temperature,material_form,material_producer,number_of_accumulations,time,ratio_against_background,truncated,elementmultiply_or_elementdivide,collection_length,sample_gain,number_of_background_scans,background_gain,sample_spacing,resolution_points,number_of_fft_points,apodization,bench_serial_number,subtraction_or_addition,baseline_correction,perctransmittance_absorbance,sponsor,grating,hole_sizenm,slitum,filterperc,delays,date,molform,aperture,beamsplitter,detectordiadetport_in_sphere,sphere_diameter,acquisition_mode,scanner_speed,phase_resolution,phase_correction,zerofilling,wavenumber_accuracy,low_pass_filter,switch_gain_on,mw,contact_info,cas_number,material_quality,laser_light_used,total_acquisition_time_s,data_processing_proceedure,level_of_confidence_in_identification,smoother,density,material_class,plastic_or_not,material_class_specific,max_cor_class,max_cor_val
99,24,,,-2173,-3365,50-100,100-200,fragment,yellow,Depth in Z,,99,V2.266,f6ff5cfa408186948ad0e16ee782e404,0.823567,0.7,TRUE,8.699358,4,TRUE,TRUE,12,16,Sagehen_March142022_2_top_100_76-1000024.CSV,CC BY-NC,V2.266,bd642a3cea4aa3840a4315f2642c3cae/9fb8439a1a35efb2ddfa4e64815c4261,fc6228b31c1420e278107838c962afc0,7.707067,win cowger and sebastian primpke,ftir,wool_slubbing_rough,"polymer, minerals, organic materials",transmission_5_d11_3,,,,,awi,,,,transmission,,,,,,,,cowger et al. 'high throughput ftir analysis of macro and microplastics with plate readers' in prep,,,,,,,,,,,,fur,wool_slubbing_rough,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,faserinstitut bremen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,,,,organic matter,not plastic,,organic matter,0.925598
100,25,,,-2019,193,50-100,50-100,fragment,brown,,,100,V2.267,2b90a9d2d23dd69b649aff28a80e7c54,0.8313,0.7,TRUE,6.840888,4,TRUE,TRUE,13,16,Sagehen_March142022_2_top_100_76-1000025.CSV,CC BY-NC,V2.267,bd642a3cea4aa3840a4315f2642c3cae/9fb8439a1a35efb2ddfa4e64815c4261,6eb2de765809b6689ff5646127c96961,5.496212,win cowger and sebastian primpke,ftir,fur_angora_rabbit,"polymer, minerals, organic materials",transmission_5_c7_3,,,,,awi,,,,transmission,,,,,,,,cowger et al. 'high throughput ftir analysis of macro and microplastics with plate readers' in prep,,,,,,,,,,,,fur,fur_angora_rabbit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,faserinstitut bremen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,,,,organic matter,not plastic,,organic matter,0.981539
101,1,,,-1837,3591,100-200,100-200,fragment,white ,,,101,V2,8cc79e3af239e30f74dbfbe1e1f698f6,0.893093,0.7,TRUE,20.79007,4,TRUE,TRUE,1,1,Sagehen_March142022_2_top_100_101-1250001.CSV,CC BY-NC,V2,bd642a3cea4aa3840a4315f2642c3cae/9fb8439a1a35efb2ddfa4e64815c4261,5309d4a4cb202a27936b2658c074a377,118.4212,primpke et al. 2018,ftir,poly(vinyl stearate),"polymer, minerals, organic materials",198primpke,,,,,,,,,atr,,https://doi.org/10.1007/s00216-018-1156-x,,,,,white,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,powder,"scientific polymer products, inc.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,polyvinylesters,plastic,poly(vinyl stearate),other plastic,0.947347
102,2,,,-1483,4079,100-200,500-600,fragment,multi,gray-blue-yellow-metallic/shiny mineral?,,102,V2.1,5cf0aeaf1404351901fad4cdcc937bd4,0.876371,0.7,TRUE,6.984237,4,TRUE,TRUE,2,1,Sagehen_March142022_2_top_100_101-1250002.CSV,CC BY-NC,V2.1,bd642a3cea4aa3840a4315f2642c3cae/9fb8439a1a35efb2ddfa4e64815c4261,fe593647fab2b368f1d4f6e463fe6a8d,393.4161,kimmel_center,ftir,"collagen (fossil >50,000 bp)","organic materials, minerals, archeology","./collagen (fossil  more than 50,000 bp).dx kimmel",unknown,,,,unknown,,,,absorbance,absorbance,"absorbance of natural & biogenic material of archeological interest. collected and provided by prof. steven weiner from kimmel center for archaeological science, weizmann institute of science, israel",5.01  $$ datafile exported by spectragryph v.1.2.15,1,-1.92847,unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,########,,,,,,,,,,,,,,,,,,,,,,,,other material,not plastic,,other material,0.986796
103,3,,,-1640,5437,50-100,100-200,fragment,translucent,,,103,V2.2,8b652374b67d0b62bfaf6cce01d1c775,0.877925,0.7,TRUE,12.81519,4,TRUE,TRUE,3,1,Sagehen_March142022_2_top_100_101-1250003.CSV,CC BY-NC,V2.2,bd642a3cea4aa3840a4315f2642c3cae/9fb8439a1a35efb2ddfa4e64815c4261,b7f7241ad2c23103a241eb76d1e51d6c,10.48966,win cowger and sebastian primpke,ftir,tomato skin,"polymer, minerals, organic materials",transmission_4_e8_3,,,,,,,,,transmission,,,,,,,,cowger et al. 'high throughput ftir analysis of macro and microplastics with plate readers' in prep,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,,,,organic matter,not plastic,,organic matter,0.965029
104,4,,,-1701,-4076,<50,300-400,fiber/filament,translucent,"Possibly longer, disappears behind wire",,104,V2.3,1349853dba99f1a46ca53a91f26761cb,0.887252,0.7,TRUE,8.748344,4,TRUE,TRUE,4,1,Sagehen_March142022_2_top_100_101-1250004.CSV,CC BY-NC,V2.3,bd642a3cea4aa3840a4315f2642c3cae/9fb8439a1a35efb2ddfa4e64815c4261,49d51b66e33825c9514778a912907936,5.529581,moore institute for plastic pollution research,ftir,pest,polymers and minerals,mippr_347252na,,,,,,,,,reflectance,,,,,,nicolet in10,,,,,,,,,,,,,,,,,,,moore institute for plastic pollution research,,,,,,,,,,,,,,,,,,,,,,,cc by-nc,376,427,427,0,4,bip,"0.000025000, 0.000025000","microplastic particles scanned with ultrafast scanning, reduced to ~30 representative spectra from hundreds of thousands of spectra",,,,,,,,,,,,,,,,,,,,,,heather szafranski,,,,,,,,,,,,,,,,,,,,,,,,,,none,,,,polyesters,plastic,,polyesters,0.973701
105,5,,,-966,5357,50-100,50-100,fragment,white ,Close to edge,,105,V2.4,5b0dd79fa633a504d5097262ae528e6a,0.808639,0.7,TRUE,7.199759,4,TRUE,TRUE,5,1,Sagehen_March142022_2_top_100_101-1250005.CSV,CC BY-NC,V2.4,bd642a3cea4aa3840a4315f2642c3cae/9fb8439a1a35efb2ddfa4e64815c4261,0a40c81dd2effb8fe70bb4cc7c28d156,487.5065,kimmel_center,ftir,amber (baltic; a. nissenbaum),"organic materials, minerals, archeology","./amber (baltic, a. nissenbaum).dx kimmel",unknown,,,,unknown,,,,absorbance,absorbance,"absorbance of natural & biogenic material of archeological interest. collected and provided by prof. steven weiner from kimmel center for archaeological science, weizmann institute of science, israel",5.01  $$ datafile exported by spectragryph v.1.2.15,1,-1.92847,unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,########,,,,,,,,,,,,,,,,,,,,,,,,mineral,not plastic,,other material,0.989719
106,6,,,-892,-13177,100-200,200-300,film,,gray,,106,V2.5,7c49a42e5c2a33bb9937af3caeac5dc0,0.811348,0.7,TRUE,5.456054,4,TRUE,TRUE,1,2,Sagehen_March142022_2_top_100_101-1250006.CSV,CC BY-NC,V2.5,bd642a3cea4aa3840a4315f2642c3cae/9fb8439a1a35efb2ddfa4e64815c4261,98688bd840722da85b8d7d226118fc7b,11.55198,win cowger and sebastian primpke,ftir,pp,"polymer, minerals, organic materials",atr_7_f8_2,,,,,,,,,atr,,,,,,,,"roscher, lisa; fehres, annika; reisel, lorenz; halbach, maurits; scholz-bttcher, barbara; gerriets, michaela; badewien, thomas h; shiravani, gholamreza; wurpts, andreas; primpke, sebastian; gerdts, gunnar (2021): abundances of large microplastics (l-mp, 500-5000 m) in surface waters of the weser estuary and the german north sea (april 2018). pangaea, https://doi.org/10.1594/pangaea.938143",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,,,,polyolefins (polyalkenes),plastic,poly(propylene),polyolefins (polyalkenes),0.98227
107,7,,,-1120,4066,200-300,400-500,fragment,,dark gray and very smooth,,107,V2.6,0d73151ab65cd4d03d91782e0d9a2864,0.700708,0.7,TRUE,18.35095,4,TRUE,TRUE,2,2,Sagehen_March142022_2_top_100_101-1250007.CSV,CC BY-NC,V2.6,bd642a3cea4aa3840a4315f2642c3cae/9fb8439a1a35efb2ddfa4e64815c4261,2ac59e1be25de8dbc83c797784de39ec,123.4721,rruff,raman,calaverite,minerals,calaverite__r070164__broad_scan__785__0__unoriented__raman_data_raw__14130,rruff,r070164,aute_2_,"vindicator mine, cripple creek, teller county, colorado, usa",michael scott,the identification of this mineral is confirmed by single-crystal x-ray diffraction and chemical analysis.,rruff.info/r070164,(au_0.90_ag_0.10_)_=1_te_2.00_,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"loose pale gold colored metallic fragments associated with quartz, used to define icdd pattern",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mineral,not plastic,,mineral,0.968106
108,8,,,-866,-4017,50-100,200-300,film,translucent,,,108,V2.7,b2c045844d84dac75d8c3229375d753a,0.888852,0.7,TRUE,10.43492,4,TRUE,TRUE,3,2,Sagehen_March142022_2_top_100_101-1250008.CSV,CC BY-NC,V2.7,bd642a3cea4aa3840a4315f2642c3cae/9fb8439a1a35efb2ddfa4e64815c4261,b437260801e6569b11f549d43b164dd5,18.87023,"flopp, de frond et al. 2021",ftir,c5. pink fiber bundle,polymers,c5. pink fiber bundle,nicolet,,,,thermo fisher scientific corporation,,,,transmittance,transmittance,https://doi.org/10.1021/acs.analchem.1c02549,5.01  $$ nicolet v. 970,1.00E-09,1.928548,nicolet in10 mx,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,12:09:57,ratio against background,truncated,elementmultiply or elementdivide,11.18 sec,1,32,1,2,4096,8192,n-b strong;,alk1911898;,,,,,,,,,,7/9/2020,,,,,,,,,mertz;,,,,,,,,,15798.67 cm-1,11.18 sec,,,,,organic matter,not plastic,,organic matter,0.970598
109,9,,,-543,-4048,50-100,400-500,film,translucent,,,109,V2.8,b2c045844d84dac75d8c3229375d753a,0.852015,0.7,TRUE,10.20798,4,TRUE,TRUE,4,2,Sagehen_March142022_2_top_100_101-1250009.CSV,CC BY-NC,V2.8,bd642a3cea4aa3840a4315f2642c3cae/9fb8439a1a35efb2ddfa4e64815c4261,dff03fb41a2840523492bafb6d99e3bd,18.87023,"flopp, de frond et al. 2021",ftir,c5. pink fiber bundle,polymers,c5. pink fiber bundle,nicolet,,,,thermo fisher scientific corporation,,,,transmittance,transmittance,https://doi.org/10.1021/acs.analchem.1c02549,5.01  $$ nicolet v. 970,1.00E-09,1.928548,nicolet in10 mx,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,12:09:57,ratio against background,truncated,elementmultiply or elementdivide,11.18 sec,1,32,1,2,4096,8192,n-b strong;,alk1911898;,,,,,,,,,,7/9/2020,,,,,,,,,mertz;,,,,,,,,,15798.67 cm-1,11.18 sec,,,,,organic matter,not plastic,,organic matter,0.970598
110,10,,,-446,-4746,<50,700-800,fiber/filament,blue,smooth,,110,V2.9,b00ea25689c17cdbaaab1faec5e0b6b7,0.91169,0.7,TRUE,6.522284,4,TRUE,TRUE,5,2,Sagehen_March142022_2_top_100_101-1250010.CSV,CC BY-NC,V2.9,bd642a3cea4aa3840a4315f2642c3cae/9fb8439a1a35efb2ddfa4e64815c4261,6878bcc4ecf1d06bf49269782b493d03,4.815221,moore institute for plastic pollution research,ftir,pest,polymers and minerals,mippr_335282na,,,,,,,,,reflectance,,,,,,nicolet in10,,,,,,,,,,,,,,,,,,,moore institute for plastic pollution research,,,,,,,,,,,,,,,,,,,,,,,cc by-nc,376,427,427,0,4,bip,"0.000025000, 0.000025000","microplastic particles scanned with ultrafast scanning, reduced to ~30 representative spectra from hundreds of thousands of spectra",,,,,,,,,,,,,,,,,,,,,,heather szafranski,,,,,,,,,,,,,,,,,,,,,,,,,,none,,,,polyesters,plastic,,polyesters,0.974496
111,11,,,-680,-10818,100-200,600-700,film,translucent,,,111,V2.10,c1ac60f618676c06dd70aa3107168e1d,0.845073,0.7,TRUE,10.71436,4,TRUE,TRUE,1,3,Sagehen_March142022_2_top_100_101-1250011.CSV,CC BY-NC,V2.10,bd642a3cea4aa3840a4315f2642c3cae/9fb8439a1a35efb2ddfa4e64815c4261,03179b80ad3fe31ebc4d0e2066b736d5,24.01335,kimmel_center,ftir,chitin (crab shells sigma),"organic materials, minerals, archeology",./chitin (crab shells sigma).dx kimmel,unknown,,,,unknown,,,,absorbance,absorbance,"absorbance of natural & biogenic material of archeological interest. collected and provided by prof. steven weiner from kimmel center for archaeological science, weizmann institute of science, israel",5.01  $$ datafile exported by spectragryph v.1.2.15,1,-1.92847,unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21/01/2007 19:10:30,,,,,,,,,,,,,,,,,,,,,,,,organic matter,not plastic,,organic matter,0.866412
